user_id,avg_days_between_orders,gap_trend,reorder_rate,order_count,days_since_last_order,annual_value_est,revenue_at_risk_90d,churned,top_department
54,4.78,-2.67,0.6,77,1.0,8406.06,153.58,0,produce
55,19.43,2.0,0.52,8,30.0,2066.54,58.71,1,beverages
56,7.0,5.0,0.66,13,6.0,5735.71,154.42,0,produce
57,8.08,-0.67,0.57,14,10.0,4970.95,58.1,0,dairy eggs
58,9.29,12.0,0.33,15,6.0,4323.85,63.55,0,dry goods pasta
59,16.1,12.67,0.39,11,10.0,2493.79,58.22,0,produce
60,24.86,4.67,0.33,8,30.0,1615.23,30.74,1,dairy eggs
62,16.8,-2.33,0.36,11,29.0,2389.88,47.4,0,produce
63,9.23,-4.0,0.62,40,13.0,4349.58,128.02,0,dairy eggs
64,11.7,2.0,0.61,11,27.0,3431.62,107.06,0,produce
65,14.0,9.67,0.41,15,30.0,2867.86,60.83,1,produce
66,28.83,0.0,0.27,7,23.0,1392.49,13.56,0,pantry
67,7.46,3.0,0.73,25,5.0,5383.24,41.11,0,beverages
68,28.2,3.0,0.27,6,30.0,1423.76,37.75,1,dairy eggs
69,12.25,0.0,0.4,5,13.0,3277.55,74.49,0,beverages
70,19.92,19.0,0.32,14,30.0,2015.25,34.35,1,dairy eggs
71,14.39,13.67,0.76,24,17.0,2789.88,122.06,0,produce
72,16.5,3.0,0.67,13,30.0,2433.33,20.84,1,dairy eggs
73,22.17,2.33,0.33,7,22.0,1811.28,14.11,0,produce
74,16.0,7.67,0.13,6,10.0,2509.38,50.38,0,produce
75,8.86,1.33,0.68,23,9.0,4529.74,139.2,0,produce
76,21.11,3.33,0.26,10,14.0,1901.84,15.13,0,beverages
77,13.45,-12.0,0.37,12,6.0,2984.12,114.73,0,dairy eggs
78,14.83,15.67,0.11,7,7.0,2706.74,38.67,0,produce
79,19.86,17.67,0.52,8,30.0,2021.94,59.16,1,dairy eggs
80,9.33,-7.0,0.63,13,8.0,4301.79,104.54,0,produce
81,21.0,13.0,0.27,8,8.0,1911.9,16.29,0,produce
82,11.26,-3.33,0.79,20,13.0,3564.72,55.9,0,produce
83,20.0,-2.0,0.38,7,30.0,2007.5,27.38,1,snacks
84,21.62,0.0,0.29,9,14.0,1856.65,35.63,0,produce
85,18.67,-0.67,0.47,7,10.0,2150.89,20.95,0,dairy eggs
86,19.41,1.0,0.52,18,6.0,2068.33,74.17,0,produce
87,10.22,-19.0,0.67,28,8.0,3927.72,58.34,0,dairy eggs
88,18.29,-2.33,0.57,8,23.0,2195.7,8.73,0,pets
89,9.2,-3.33,0.68,21,6.0,4364.13,119.49,0,canned goods
90,3.45,0.67,0.89,72,2.0,11635.31,247.91,0,snacks
91,10.07,-2.0,0.61,16,11.0,3988.41,138.8,0,dairy eggs
92,22.5,0.0,0.3,5,21.0,1784.44,16.22,0,produce
93,12.71,-4.0,0.13,15,5.0,3157.87,18.66,0,snacks
94,14.62,-10.67,0.2,9,15.0,2745.3,38.82,0,dairy eggs
95,21.12,0.67,0.36,9,21.0,1900.59,77.75,0,dry goods pasta
96,12.62,9.0,0.6,17,30.0,3180.2,65.47,1,frozen
97,20.4,-5.33,0.11,6,6.0,1968.14,41.0,0,beverages
98,20.31,5.0,0.46,14,8.0,1977.08,16.05,0,beverages
99,17.94,-7.67,0.41,19,22.0,2237.46,60.49,0,produce
100,26.0,0.0,0.26,5,26.0,1544.23,18.95,0,deli
101,13.95,6.33,0.49,20,4.0,2878.68,55.61,0,produce
102,25.83,-4.33,0.42,7,30.0,1554.19,38.35,1,produce
103,12.35,15.67,0.47,18,20.0,3250.24,32.01,0,dairy eggs
104,17.2,-8.33,0.38,6,10.0,2334.3,25.64,0,deli
105,21.57,7.67,0.39,8,30.0,1861.26,9.52,1,produce
107,15.14,-4.67,0.45,15,9.0,2651.42,52.22,0,dairy eggs
108,19.86,14.33,0.45,8,6.0,2021.94,44.8,0,produce
109,20.17,0.67,0.38,7,21.0,1990.91,55.59,0,produce
110,15.75,-9.67,0.57,21,6.0,2549.21,101.8,0,produce
111,17.71,2.0,0.21,8,4.0,2266.53,51.51,0,dairy eggs
112,7.92,-11.0,0.58,27,6.0,5067.48,67.82,0,produce
113,16.2,5.0,0.71,6,30.0,2478.4,6.57,1,household
114,6.75,0.0,0.48,5,2.0,5948.15,232.52,0,produce
115,16.33,-12.67,0.22,13,15.0,2458.16,39.54,0,bakery
116,12.5,-5.33,0.2,7,4.0,3212.0,31.29,0,beverages
117,19.45,-9.67,0.45,12,4.0,2063.79,50.42,0,beverages
118,13.3,12.67,0.7,28,30.0,3019.64,41.42,1,produce
121,20.5,2.33,0.58,11,21.0,1958.54,24.28,0,produce
122,7.93,5.0,0.6,29,22.0,5063.96,47.62,0,beverages
123,20.4,-18.33,0.57,11,0.0,1968.14,30.09,0,dairy eggs
124,15.88,4.33,0.42,9,21.0,2529.13,56.2,0,produce
125,11.77,-9.0,0.48,14,11.0,3411.44,111.31,0,produce
126,25.22,-8.33,0.45,10,21.0,1591.85,37.99,0,produce
127,12.0,8.0,0.53,17,6.0,3345.83,136.43,0,beverages
128,16.36,-7.33,0.25,12,4.0,2453.61,46.93,0,dairy eggs
129,7.5,-1.67,0.48,11,1.0,5353.33,70.79,0,produce
131,19.33,1.67,0.58,10,18.0,2076.72,31.62,0,frozen
132,3.42,-3.0,0.61,25,5.0,11751.22,130.33,0,dairy eggs
133,6.47,-3.67,0.51,20,6.0,6202.03,383.4,0,pantry
134,20.6,3.0,0.45,6,30.0,1949.03,34.7,1,dairy eggs
135,13.25,0.0,0.39,5,17.0,3030.19,52.34,0,dairy eggs
137,25.4,0.0,0.65,6,8.0,1580.71,43.11,0,dry goods pasta
138,11.12,5.67,0.63,33,1.0,3608.99,37.03,0,frozen
139,12.5,0.0,0.35,5,30.0,3212.0,24.82,1,produce
140,4.8,0.33,0.74,77,2.0,8360.0,289.69,0,produce
142,7.16,-12.33,0.81,46,2.0,5611.02,103.68,0,dairy eggs
143,8.0,5.0,0.49,15,8.0,5018.75,179.46,0,dairy eggs
144,7.29,-1.67,0.62,8,12.0,5510.78,45.4,0,deli
145,7.0,5.0,0.52,9,30.0,5735.71,108.63,1,deli
146,9.07,-4.0,0.64,41,25.0,4424.24,95.16,0,produce
147,17.0,-2.33,0.66,14,30.0,2361.76,29.14,1,snacks
148,9.86,8.67,0.2,8,27.0,4073.19,127.29,0,produce
149,17.07,4.33,0.51,15,12.0,2351.88,81.25,0,produce
150,10.48,9.33,0.47,32,20.0,3829.69,78.88,0,frozen
151,6.2,-8.33,0.27,11,2.0,6475.81,219.43,0,produce
152,5.59,-1.33,0.77,65,1.0,7177.65,174.67,0,dairy eggs
153,11.28,5.67,0.66,19,7.0,3560.1,113.7,0,produce
154,9.65,2.33,0.67,35,4.0,4161.89,167.56,0,beverages
155,15.32,5.33,0.8,23,9.0,2621.07,63.2,0,beverages
157,5.0,0.0,0.35,5,4.0,8030.0,189.8,0,produce
158,14.25,0.0,0.13,5,13.0,2817.54,39.7,0,pantry
160,14.5,-8.33,0.55,13,13.0,2768.97,137.96,0,beverages
161,16.65,11.33,0.52,21,20.0,2411.41,73.07,0,dairy eggs
162,5.62,0.67,0.24,14,3.0,7150.0,100.98,0,produce
163,9.09,4.33,0.34,12,11.0,4416.5,71.94,0,produce
164,17.3,1.33,0.75,11,19.0,2320.81,95.9,0,bakery
165,21.0,-1.67,0.46,7,27.0,1911.9,57.11,0,frozen
166,23.2,-6.67,0.18,6,16.0,1730.6,18.35,0,produce
167,17.4,-3.33,0.22,6,7.0,2307.47,62.93,0,frozen
168,8.76,-1.33,0.35,22,8.0,4582.34,66.27,0,dairy eggs
169,19.83,-12.67,0.12,7,30.0,2024.37,63.1,1,dairy eggs
171,10.33,10.33,0.41,7,8.0,3885.48,88.31,0,frozen
172,10.6,1.0,0.3,6,14.0,3787.74,28.69,0,produce
173,6.05,3.67,0.44,45,15.0,6641.35,144.57,0,produce
174,11.19,-7.0,0.52,28,9.0,3589.57,51.86,0,produce
175,5.26,6.0,0.29,24,7.0,7631.82,94.68,0,produce
176,23.0,-4.33,0.24,7,19.0,1745.65,28.34,0,produce
177,6.38,-0.67,0.5,14,0.0,6288.55,49.0,0,bakery
178,13.8,3.0,0.25,6,7.0,2909.42,67.23,0,frozen
179,19.0,6.67,0.26,6,15.0,2113.16,30.42,0,produce
180,24.2,-4.33,0.48,6,18.0,1659.09,139.51,0,produce
181,20.22,2.67,0.46,10,30.0,1985.44,43.32,1,dairy eggs
182,12.4,6.33,0.66,26,7.0,3237.9,57.74,0,beverages
183,15.25,0.0,0.26,5,19.0,2632.79,123.26,0,produce
184,23.55,-12.0,0.55,12,30.0,1705.21,57.81,1,snacks
185,29.17,1.67,0.15,7,30.0,1376.57,18.32,1,beverages
186,14.0,1.67,0.3,7,7.0,2867.86,50.28,0,missing
187,6.88,4.0,0.7,33,3.0,5840.0,86.07,0,beverages
188,7.75,0.0,0.29,5,5.0,5180.65,169.55,0,produce
189,14.82,7.67,0.45,12,2.0,2709.51,32.84,0,dairy eggs
190,14.69,14.0,0.43,17,12.0,2733.62,58.47,0,produce
191,4.75,0.0,0.1,5,5.0,8452.63,115.26,0,dairy eggs
192,29.8,0.0,0.66,6,30.0,1347.32,25.52,1,snacks
193,18.4,5.67,0.1,6,14.0,2182.07,33.06,0,snacks
194,17.5,6.33,0.38,9,9.0,2294.29,52.14,0,produce
195,5.48,-5.67,0.8,59,6.0,7322.96,53.88,0,snacks
197,3.6,-1.0,0.63,21,2.0,11152.78,578.16,0,dairy eggs
198,14.8,6.33,0.32,6,8.0,2712.84,54.46,0,snacks
200,21.0,13.67,0.49,9,30.0,1911.9,83.04,1,snacks
201,9.86,9.33,0.32,8,23.0,4073.19,64.8,0,dairy eggs
202,19.08,-3.67,0.55,13,18.0,2103.93,134.25,0,produce
204,6.29,7.0,0.65,59,17.0,6380.0,131.73,0,produce
205,14.33,7.33,0.61,13,30.0,2801.16,27.91,1,dairy eggs
206,12.39,-12.0,0.52,29,13.0,3239.77,46.97,0,produce
208,9.67,6.33,0.56,19,18.0,4153.45,48.69,0,beverages
209,12.68,7.33,0.84,20,27.0,3165.35,116.9,0,snacks
210,3.33,1.33,0.84,100,5.0,12045.0,410.08,0,produce
211,7.25,0.0,0.33,5,8.0,5537.93,191.31,0,produce
212,14.83,-14.33,0.41,13,2.0,2706.74,15.14,0,household
213,17.0,1.0,0.12,6,30.0,2361.76,72.46,1,dairy eggs
214,11.67,-2.33,0.6,28,30.0,3441.43,143.86,1,produce
215,26.2,0.0,0.09,6,29.0,1532.44,26.12,0,produce
216,13.75,-3.0,0.74,17,22.0,2920.0,132.34,0,dairy eggs
217,18.73,-15.67,0.25,12,30.0,2143.93,40.6,1,beverages
218,14.33,-3.67,0.71,7,7.0,2801.16,6.37,0,snacks
219,10.27,-5.33,0.62,34,14.0,3908.41,111.56,0,beverages
220,18.19,-0.33,0.63,17,30.0,2207.56,35.12,1,dairy eggs
221,11.45,4.67,0.73,23,10.0,3505.16,80.01,0,produce
222,5.21,0.33,0.72,71,3.0,7700.0,121.02,0,dairy eggs
223,7.43,-2.33,0.77,50,7.0,5404.81,158.7,0,dairy eggs
225,16.9,-1.67,0.57,11,6.0,2375.74,29.45,0,dairy eggs
226,14.19,5.0,0.68,22,30.0,2829.36,68.4,1,dairy eggs
227,8.87,-2.0,0.62,31,7.0,4528.2,186.57,0,produce
229,13.76,-5.0,0.72,18,4.0,2916.88,72.55,0,dairy eggs
230,21.3,-3.33,0.58,11,30.0,1884.98,28.43,1,snacks
232,7.91,5.67,0.79,36,13.0,5073.1,142.52,0,produce
233,8.38,0.0,0.76,25,19.0,4794.03,208.32,0,produce
234,8.73,3.0,0.59,42,14.0,4598.18,136.85,0,bakery
235,11.38,5.0,0.51,22,5.0,3527.82,74.71,0,beverages
236,6.0,2.33,0.4,45,2.0,6691.67,174.05,0,produce
237,5.57,-0.33,0.19,8,0.0,7206.41,141.26,0,beverages
238,14.83,5.67,0.45,7,14.0,2706.74,227.61,0,deli
239,19.4,-4.67,0.2,6,6.0,2069.59,43.9,0,beverages
240,23.0,0.0,0.29,6,20.0,1745.65,11.24,0,snacks
241,10.92,-0.33,0.34,14,5.0,3675.7,73.99,0,frozen
242,12.38,-11.33,0.47,17,7.0,3244.44,60.29,0,dairy eggs
243,12.26,-11.67,0.69,28,20.0,3275.08,96.5,0,produce
244,12.67,-9.67,0.09,7,11.0,3169.74,44.25,0,produce
245,28.0,0.0,0.34,6,20.0,1433.93,31.5,0,produce
246,15.0,0.0,0.24,5,9.0,2676.67,40.15,0,bakery
247,19.75,0.0,0.23,5,30.0,2032.91,28.65,1,produce
248,5.93,0.33,0.8,58,2.0,6770.86,104.0,0,produce
249,7.11,-0.33,0.68,10,3.0,5646.09,56.46,0,produce
250,18.45,-4.33,0.72,12,20.0,2175.62,48.62,0,frozen
251,13.89,-3.0,0.48,10,23.0,2890.8,50.59,0,beverages
252,26.0,0.0,0.19,5,30.0,1544.23,47.03,1,dairy eggs
254,4.4,0.33,0.38,11,3.0,9125.0,197.96,0,deli
255,19.25,0.0,0.38,5,29.0,2085.71,82.48,0,produce
256,18.11,-3.33,0.56,19,28.0,2216.87,61.52,0,dairy eggs
257,4.37,1.0,0.45,20,10.0,9190.96,126.38,0,produce
258,8.71,-2.0,0.53,25,26.0,4610.53,91.37,0,deli
260,10.59,3.67,0.69,18,30.0,3791.94,51.71,1,produce
261,3.75,0.33,0.13,9,4.0,10706.67,232.52,0,produce
262,7.29,-5.67,0.45,46,3.0,5508.38,72.39,0,dairy eggs
264,11.48,-12.0,0.7,30,8.0,3496.55,189.4,0,produce
265,15.5,13.0,0.32,7,8.0,2590.32,23.55,0,produce
266,16.75,0.0,0.13,5,30.0,2397.01,32.69,1,dairy eggs
267,23.67,11.0,0.54,10,30.0,1696.48,130.71,1,frozen
268,24.38,5.33,0.1,9,30.0,1647.18,27.87,1,personal care
270,12.23,7.33,0.6,23,30.0,3283.64,23.69,1,produce
271,19.0,11.33,0.78,16,3.0,2113.16,5.4,0,beverages
272,15.11,13.67,0.4,10,16.0,2656.99,44.08,0,beverages
273,14.42,2.0,0.47,20,13.0,2784.12,37.33,0,dairy eggs
274,17.85,-10.67,0.29,14,18.0,2249.78,68.66,0,household
275,11.54,-5.0,0.42,14,6.0,3479.67,92.08,0,produce
276,13.25,12.33,0.48,9,7.0,3030.19,47.44,0,dairy eggs
278,2.84,2.33,0.79,69,2.0,14146.11,124.87,0,produce
279,18.15,-5.0,0.23,14,30.0,2211.65,35.9,1,produce
280,8.61,12.67,0.74,42,8.0,4663.31,136.52,0,produce
281,9.59,3.0,0.59,30,8.0,4188.31,96.14,0,produce
283,20.6,0.0,0.29,6,3.0,1949.03,31.01,0,produce
284,18.5,-2.0,0.68,17,13.0,2170.27,107.64,0,dairy eggs
285,21.75,0.0,0.18,5,14.0,1845.98,37.76,0,produce
287,5.23,11.67,0.61,14,0.0,7675.74,22.43,0,beverages
289,7.02,-3.33,0.85,50,14.0,5719.04,186.13,0,produce
290,7.14,0.0,0.66,51,7.0,5623.25,398.44,0,snacks
291,12.75,0.0,0.11,5,17.0,3149.02,25.76,0,produce
292,19.0,3.0,0.54,8,30.0,2113.16,78.64,1,frozen
293,20.62,4.67,0.5,9,30.0,1946.67,64.4,1,produce
294,12.8,17.0,0.54,16,30.0,3136.72,50.79,1,produce
295,5.39,2.67,0.79,24,8.0,7447.18,196.76,0,beverages
296,6.33,-0.67,0.07,7,4.0,6339.47,88.51,0,produce
297,25.5,-5.33,0.37,11,21.0,1574.51,15.94,0,dairy eggs
299,19.75,8.0,0.23,9,18.0,2032.91,32.86,0,produce
300,6.16,6.33,0.43,39,5.0,6520.09,112.09,0,produce
301,13.18,12.0,0.35,18,6.0,3047.1,56.94,0,beverages
302,12.78,5.0,0.13,10,30.0,3142.17,54.27,1,snacks
303,14.57,-8.0,0.23,8,26.0,2755.39,10.18,0,personal care
304,8.07,-2.67,0.78,43,6.0,4974.34,74.67,0,dairy eggs
305,30.0,0.0,0.25,5,30.0,1338.33,31.02,1,produce
306,14.21,-6.33,0.58,25,14.0,2825.81,31.85,0,produce
307,10.88,-6.67,0.82,34,3.0,3690.67,42.19,0,produce
309,1.0,-0.67,0.44,26,1.0,40150.0,1130.1,0,produce
310,3.33,1.67,0.71,100,4.0,12045.0,136.05,0,beverages
311,8.57,-8.33,0.64,15,12.0,4684.17,43.29,0,produce
313,1.73,-0.67,0.84,100,4.0,23244.74,418.93,0,produce
314,25.8,0.0,0.17,6,30.0,1556.2,7.07,1,alcohol
315,14.75,0.0,0.34,5,24.0,2722.03,58.15,0,bakery
316,11.25,-6.33,0.48,21,14.0,3568.89,73.39,0,produce
317,14.75,0.0,0.09,5,6.0,2722.03,53.2,0,frozen
318,14.17,1.67,0.86,7,8.0,2834.12,6.44,0,beverages
319,3.88,2.67,0.3,9,2.0,10361.29,167.46,0,produce
320,15.5,0.0,0.18,5,8.0,2590.32,167.19,0,produce
321,10.59,-4.33,0.68,33,11.0,3789.97,124.77,0,produce
322,17.93,-1.33,0.57,15,21.0,2239.44,53.61,0,dairy eggs
323,2.45,-6.67,0.78,72,4.0,16383.05,548.69,0,beverages
324,18.36,10.67,0.36,12,30.0,2186.39,40.99,1,produce
325,17.29,0.33,0.41,8,6.0,2322.73,67.97,0,produce
326,14.4,1.0,0.56,6,27.0,2788.19,52.81,0,produce
327,5.51,-1.33,0.67,64,3.0,7289.48,192.85,0,produce
328,15.58,5.67,0.51,13,27.0,2576.47,58.11,0,dairy eggs
329,18.38,11.0,0.16,9,14.0,2185.03,30.9,0,dairy eggs
330,25.14,2.67,0.44,8,6.0,1596.88,18.6,0,personal care
331,27.29,6.33,0.15,8,30.0,1471.47,16.3,1,household
332,9.0,-6.67,0.56,12,6.0,4461.11,197.71,0,dairy eggs
333,18.0,4.67,0.57,8,28.0,2230.56,26.61,0,beverages
334,5.67,3.67,0.75,64,2.0,7085.29,213.11,0,frozen
335,17.6,0.0,0.02,6,7.0,2281.25,38.02,0,dairy eggs
336,4.1,3.0,0.48,11,8.0,9792.68,84.98,0,snacks
337,21.33,2.0,0.43,13,30.0,1882.03,89.82,1,produce
338,25.5,0.0,0.27,5,30.0,1574.51,18.61,1,frozen
340,10.0,2.33,0.31,6,14.0,4015.0,98.85,0,produce
341,17.45,-8.67,0.51,12,30.0,2300.26,94.1,1,produce
342,17.44,9.0,0.34,17,30.0,2302.51,45.25,1,frozen
343,25.0,0.0,0.15,5,10.0,1606.0,18.98,0,dairy eggs
344,14.25,-7.0,0.52,9,30.0,2817.54,17.79,1,dairy eggs
346,24.33,1.0,0.41,7,30.0,1650.0,20.89,1,beverages
348,10.86,11.0,0.17,29,7.0,3698.03,40.28,0,produce
349,14.29,-13.0,0.28,8,5.0,2810.5,37.53,0,dairy eggs
350,8.0,-1.33,0.53,15,7.0,5018.75,144.48,0,dairy eggs
351,13.29,5.0,0.69,15,9.0,3022.04,87.46,0,dairy eggs
352,22.0,2.0,0.41,10,8.0,1825.0,80.88,0,snacks
353,14.91,-16.33,0.26,12,30.0,2692.99,62.73,1,dairy eggs
354,24.0,0.0,0.71,5,22.0,1672.92,5.32,0,beverages
355,16.0,-11.0,0.48,14,30.0,2509.38,62.33,1,produce
357,13.0,5.33,0.7,9,10.0,3088.46,134.15,0,produce
358,24.71,-5.0,0.37,8,30.0,1624.57,26.31,1,dairy eggs
359,17.73,-14.0,0.43,16,6.0,2264.1,70.75,0,produce
361,15.67,-5.67,0.28,7,2.0,2562.77,74.89,0,household
362,11.3,-18.33,0.32,11,6.0,3553.1,81.49,0,produce
363,9.92,-8.33,0.48,13,10.0,4048.74,159.26,0,beverages
364,14.59,-10.33,0.68,18,6.0,2752.22,61.51,0,produce
365,9.87,-2.0,0.53,16,7.0,4069.26,21.96,0,dairy eggs
369,15.67,-7.67,0.54,16,18.0,2562.77,44.05,0,produce
370,9.7,0.67,0.64,28,30.0,4137.6,113.85,1,produce
372,21.25,6.0,0.39,13,30.0,1889.41,30.72,1,beverages
373,6.14,-8.0,0.7,58,3.0,6538.71,145.53,0,produce
374,19.5,2.33,0.72,17,14.0,2058.97,6.88,0,beverages
375,20.14,5.67,0.6,8,30.0,1993.26,89.47,1,produce
376,20.38,-0.33,0.54,9,30.0,1970.55,50.76,1,bakery
378,23.88,2.0,0.57,9,27.0,1681.68,9.77,0,beverages
379,10.58,5.67,0.4,20,30.0,3795.27,86.69,1,produce
380,14.25,15.67,0.57,13,3.0,2817.54,25.12,0,deli
381,14.33,-6.33,0.55,16,10.0,2801.16,141.25,0,produce
382,10.41,5.33,0.62,30,10.0,3855.46,65.43,0,dairy eggs
383,19.89,6.0,0.49,10,30.0,2018.72,47.26,1,produce
384,19.56,-2.33,0.54,10,16.0,2053.12,12.13,0,produce
385,28.75,0.0,0.33,5,30.0,1396.52,26.66,1,international
387,11.5,-0.67,0.46,9,30.0,3491.3,57.31,1,beverages
388,23.22,6.33,0.57,10,30.0,1728.95,5.5,1,dairy eggs
389,13.09,-3.67,0.55,12,13.0,3067.01,116.76,0,produce
390,13.77,0.0,0.69,23,20.0,2915.18,120.12,0,dairy eggs
391,7.65,0.33,0.68,24,29.0,5246.88,105.33,0,produce
392,14.0,-3.33,0.8,6,5.0,2867.86,16.29,0,beverages
393,19.2,4.67,0.42,11,27.0,2091.15,100.67,0,frozen
394,27.25,0.0,0.36,5,30.0,1473.39,132.61,1,babies
396,15.17,12.33,0.63,19,30.0,2647.25,96.26,1,dairy eggs
398,6.88,-0.67,0.76,53,29.0,5831.84,110.28,0,produce
400,26.25,0.0,0.43,5,30.0,1529.52,51.45,1,beverages
401,14.5,0.0,0.2,5,5.0,2768.97,76.78,0,produce
402,13.5,0.0,0.64,5,4.0,2974.07,14.87,0,beverages
403,11.06,11.67,0.48,33,8.0,3629.38,114.48,0,produce
404,13.5,7.67,0.06,7,24.0,2974.07,51.18,0,produce
405,21.0,0.0,0.13,5,26.0,1911.9,39.11,0,produce
406,17.0,0.0,0.17,5,5.0,2361.76,74.07,0,produce
409,4.22,6.0,0.82,87,7.0,9512.12,215.19,0,produce
410,5.78,-1.0,0.64,28,10.0,6949.04,319.25,0,beverages
411,19.82,-5.33,0.71,12,30.0,2025.92,26.86,1,frozen
412,21.25,0.0,0.02,5,20.0,1889.41,40.36,0,dairy eggs
413,8.21,-14.67,0.6,20,4.0,4890.06,132.25,0,produce
415,14.0,0.33,0.52,6,9.0,2867.86,54.32,0,produce
417,20.22,0.33,0.25,10,14.0,1985.44,39.71,0,dairy eggs
418,23.57,-0.67,0.36,8,25.0,1703.33,80.81,0,dairy eggs
419,10.17,-13.67,0.59,25,21.0,3949.18,26.21,0,beverages
420,11.29,-16.0,0.46,22,6.0,3557.59,47.04,0,dairy eggs
422,8.5,-6.33,0.72,27,6.0,4723.53,107.35,0,produce
423,8.73,4.0,0.7,42,1.0,4598.18,24.88,0,dairy eggs
425,14.71,15.33,0.35,8,21.0,2728.64,87.6,0,dairy eggs
426,16.08,6.67,0.77,14,30.0,2497.37,17.84,1,snacks
427,19.71,-1.33,0.47,8,14.0,2036.59,24.88,0,produce
429,11.93,-4.67,0.56,30,16.0,3365.17,27.02,0,personal care
430,10.38,-19.67,0.33,9,6.0,3869.88,71.34,0,produce
431,8.56,2.67,0.85,10,7.0,4692.86,13.87,0,meat seafood
432,6.48,-4.33,0.73,53,7.0,6195.25,120.61,0,beverages
433,19.2,-7.0,0.31,6,22.0,2091.15,35.64,0,dairy eggs
434,11.25,0.0,0.33,5,8.0,3568.89,69.76,0,beverages
435,14.46,-1.0,0.69,14,14.0,2776.33,71.66,0,household
436,9.8,-2.67,0.46,16,17.0,4096.94,27.93,0,beverages
437,16.53,1.67,0.29,20,14.0,2429.46,54.11,0,dairy eggs
438,8.73,-7.0,0.6,12,10.0,4600.52,161.19,0,beverages
439,18.0,5.67,0.26,9,6.0,2230.56,72.66,0,meat seafood
440,8.41,6.67,0.61,18,21.0,4773.08,26.52,0,dairy eggs
441,21.5,6.33,0.6,15,25.0,1867.44,20.37,0,snacks
442,18.5,5.67,0.43,13,9.0,2170.27,66.02,0,produce
443,15.22,-2.33,0.38,10,30.0,2637.59,84.52,1,produce
444,5.62,0.0,0.87,43,7.0,7145.34,457.35,0,produce
446,24.0,-6.33,0.13,9,30.0,1672.92,19.43,1,produce
447,15.25,0.0,0.41,5,7.0,2632.79,20.34,0,dairy eggs
448,10.18,-4.67,0.79,34,6.0,3943.3,122.83,0,produce
449,10.14,0.0,0.54,22,1.0,3958.45,49.48,0,snacks
